"order_id","order_date","supplier_id","supplier_name","product_id","product_name","batch_number","expiration_date","quantity_ordered","unit_of_measure","order_status","shipment_id","shipment_date","carrier_name","tracking_number","expected_delivery_date","actual_delivery_date","destination_facility_id","destination_facility_name","destination_street_address","destination_city","destination_state","destination_postal_code","destination_country","storage_location_id","storage_condition","storage_entry_date","storage_exit_date","current_inventory_level","stockout_flag","last_updated"
"ORD00021","2023-05-01T08:20:00Z","SUP016","CurePath Therapeutics","PRD1018","Hydromorphone Injection","HDM20230501","2025-10-31","30","ampules","delivered","SHIP1018A","2023-05-02T10:00:00Z","Cardinal Health","CRDHDM030","2023-05-04","2023-05-04","FAC021","St. Joseph’s Hospital","60 Pearl Street","Boston","MA","02110","USA","CTRL02","controlled substance","2023-05-04T13:12:00Z","","0","true","2023-05-04T13:13:00Z"
"ORD00022","2023-05-05T14:41:00Z","SUP017","Sanofi-Aventis","PRD1019","Insulin Glargine Pens","IGP20230505","2025-12-31","50","pens","delivered","SHIP1019A","2023-05-06T09:00:00Z","UPS Healthcare","UPSGLG050","2023-05-08","2023-05-08","FAC022","Lakeshore Diabetes Center","301 Shoreline Ave","Cleveland","OH","44113","USA","COOL04","refrigerated","2023-05-08T15:00:00Z","","50","false","2023-05-08T15:10:00Z"
"ORD00023","2023-05-09T11:45:00Z","SUP018","Sandoz Pharmaceuticals","PRD1020","Cisplatin Injection","CIS20230509","2026-06-30","24","vials","delivered","SHIP1020A","2023-05-10T14:20:00Z","AmerisourceBergen","AMSCIS024","2023-05-13","2023-05-13","FAC023","Pacific Cancer Center","400 Pacific Avenue","San Diego","CA","92101","USA","HAZ03","hazardous","2023-05-13T11:00:00Z","","5","false","2023-05-13T11:10:00Z"
"ORD00024","2023-05-12T12:33:00Z","SUP019","Merck & Co.","PRD1021","Gardasil 9 HPV Vaccine","GARD20230512","2025-08-31","36","vials","shipped","SHIP1021A","2023-05-13T08:00:00Z","FedEx Supply Chain","FDXGARD36","2023-05-16","","FAC024","Sunrise Women's Health","850 Sunrise Blvd","Sacramento","CA","95814","USA","COOL05","refrigerated","","","36","false","2023-05-13T08:01:00Z"
"ORD00025","2023-05-14T09:39:00Z","SUP020","Baxter International","PRD1022","Ceftriaxone Sodium Injection","CEF20230514","2026-05-31","500","vials","cancelled","","","","","","","FAC025","St. Paul Medical Center","625 4th Ave","Winnipeg","MB","R3A0W3","Canada","","","","","0","true","2023-05-14T09:41:00Z"
"ORD00026","2023-05-16T10:10:00Z","SUP021","Teva Pharmaceuticals","PRD1023","Gabapentin Capsules","GABA20230516","2026-12-31","3000","capsules","delivered","SHIP1023A","2023-05-17T11:45:00Z","McKesson Medical","MCKGABA300","2023-05-19","2023-05-19","FAC026","Bergen Neurology Clinic","4 Nygaardsgaten","Bergen","NO","5008","Norway","STOR09","room temperature","2023-05-19T14:00:00Z","","3100","false","2023-05-19T15:00:00Z"
"ORD00027","2023-05-18T13:22:00Z","SUP022","Johnson & Johnson","PRD1024","Risperidone Oral Solution","RIS20230518","2026-05-31","1000","bottles","delivered","SHIP1024A","2023-05-19T16:00:00Z","Cardinal Health","CRDRIS1000","2023-05-21","2023-05-21","FAC027","St. Jude Psychiatric Center","222 Hope Street","Phoenix","AZ","85004","USA","STOR10","room temperature","2023-05-21T18:10:00Z","","1100","false","2023-05-21T18:30:00Z"
"ORD00028","2023-05-20T08:56:00Z","SUP023","Roche Diagnostics","PRD1025","Rituximab Injection","RTX20230520A","2026-06-30","10","vials","pending","","","","","","","FAC028","Silver Oak Oncology","890 Silver Oak Lane","Dallas","TX","75204","USA","","room temperature","","","0","false","2023-05-20T08:57:00Z"
"ORD00029","2023-05-23T11:13:00Z","SUP001","Global Pharma Inc.","PRD1001","Atorvastatin Calcium Tablets","ATC20230523","2026-06-30","3000","tablets","delivered","SHIP1001C","2023-05-24T13:30:00Z","DHL Express","DHL998823","2023-05-27","2023-05-27","FAC029","Las Vegas Outpatient Clinic","700 Vegas Drive","Las Vegas","NV","89106","USA","STOR11","room temperature","2023-05-27T15:40:00Z","","3120","false","2023-05-27T16:10:00Z"
"ORD00030","2023-05-26T15:16:00Z","SUP024","Hospira Healthcare","PRD1026","Midazolam Injection","MID20230526","2026-08-31","16","ampules","delivered","SHIP1026A","2023-05-27T12:00:00Z","Cardinal Health","CRDMID016","2023-05-29","2023-05-29","FAC030","Midwest Emergency Center","1600 Central Ave","St. Louis","MO","63103","USA","CTRL03","controlled substance","2023-05-29T14:30:00Z","","0","true","2023-05-29T15:00:00Z"
"ORD00031","2023-06-01T10:01:00Z","SUP025","Hexal AG","PRD1027","Perindopril Erbumine Tablets","PER20230601","2026-12-31","247","boxes","delivered","SHIP1027A","2023-06-02T09:00:00Z","DHL Express","DHLPER247","2023-06-05","2023-06-05","FAC031","Munich Heart Center","Maximilianstraße 35","Munich","BY","80333","Germany","STOR12","room temperature","2023-06-05T13:00:00Z","","255","false","2023-06-05T14:00:00Z"
"ORD00032","2023-06-04T12:17:00Z","SUP026","Sun Pharma","PRD1028","Cefepime Hydrochloride Powder","CEFEP20230604","2026-06-30","36","vials","shipped","SHIP1028A","2023-06-05T11:11:00Z","FedEx Supply Chain","FDXCEF36","2023-06-07","","FAC032","Baltimore Infectious Disease Center","199 Harbor Road","Baltimore","MD","21201","USA","STOR13","room temperature","","","36","false","2023-06-05T11:12:00Z"
"ORD00033","2023-06-08T14:00:00Z","SUP027","Ratiopharm GmbH","PRD1029","Cyclophosphamide Injection","CYC20230608","2025-12-31","24","vials","delivered","SHIP1029A","2023-06-09T09:00:00Z","DHL Express","DHLCYC024","2023-06-11","2023-06-11","FAC033","Stuttgart Oncology Clinic","Königsstraße 20","Stuttgart","BW","70173","Germany","HAZ04","hazardous","2023-06-11T15:00:00Z","","0","true","2023-06-11T16:00:00Z"
"ORD00034","2023-06-11T10:15:00Z","SUP028","Aspen Pharmacare","PRD1030","Enoxaparin Sodium Injection","ENOX20230611","2026-10-31","80","syringes","delivered","SHIP1030A","2023-06-12T11:00:00Z","FedEx Supply Chain","FDXENOX80","2023-06-14","2023-06-14","FAC034","Sun Valley Heart Center","505 Sunrise Ave","Phoenix","AZ","85016","USA","STOR14","room temperature","2023-06-14T14:00:00Z","","80","false","2023-06-14T15:00:00Z"
"ORD00035","2023-06-13T12:22:00Z","SUP029","AbbVie Biotherapeutics","PRD1031","Adalimumab Injection Pen","ADA20230613A","2026-11-30","100","pens","shipped","SHIP1031A","2023-06-14T09:00:00Z","UPS Healthcare","UPSADA100","2023-06-16","","FAC035","Green Valley Rheumatology","800 Green Valley Dr","Nashville","TN","37203","USA","COOL06","refrigerated","","","100","false","2023-06-14T09:01:00Z"
"ORD00036","2023-06-17T09:00:00Z","SUP030","Novo Nordisk","PRD1032","Semaglutide Injection","SEM20230617","2025-12-31","80","pens","delivered","SHIP1032A","2023-06-18T11:00:00Z","UPS Healthcare","UPSSEM080","2023-06-20","2023-06-20","FAC036","Vancouver Diabetes Center","300 Granville St","Vancouver","BC","V6C1S4","Canada","COOL07","refrigerated","2023-06-20T15:00:00Z","","80","false","2023-06-20T16:10:00Z"
"ORD00037","2023-06-20T08:44:00Z","SUP031","Amgen Inc.","PRD1033","Filgrastim Injection","FIL20230620A","2026-10-31","24","vials","shipped","SHIP1033A","2023-06-21T10:00:00Z","FedEx Supply Chain","FDXFIL024","2023-06-23","","FAC037","St. Luke Oncology","2900 St. Luke Ave","Indianapolis","IN","46202","USA","STOR15","room temperature","","","24","false","2023-06-21T10:01:00Z"
"ORD00038","2023-06-21T13:33:00Z","SUP032","Boehringer Ingelheim","PRD1034","Dabigatran Etexilate Capsules","DABI20230621","2026-12-31","5000","capsules","delivered","SHIP1034A","2023-06-22T09:00:00Z","DHL Express","DHLDABI500","2023-06-25","2023-06-25","FAC038","Frankfurt Cardiology Center","Zeil 112","Frankfurt","HE","60313","Germany","STOR16","room temperature","2023-06-25T14:00:00Z","","5100","false","2023-06-25T15:00:00Z"
"ORD00039","2023-06-25T15:44:00Z","SUP033","Fresenius Kabi","PRD1035","Propofol Injectable Emulsion","PROPO20230625","2026-10-31","100","vials","delivered","SHIP1035A","2023-06-26T10:00:00Z","McKesson Medical","MCKPROPO10","2023-06-28","2023-06-28","FAC039","North Bay Surgical Center","1900 Bay Street","San Jose","CA","95112","USA","STOR17","room temperature","2023-06-28T14:00:00Z","","105","false","2023-06-28T14:30:00Z"
"ORD00040","2023-06-29T11:00:00Z","SUP034","Genentech","PRD1036","Bevacizumab Injection","BEVA20230629","2026-09-30","24","vials","pending","","","","","","","FAC040","New Hope Oncology","160 Hope Ave","Boston","MA","02114","USA","","room temperature","","","0","false","2023-06-29T11:01:00Z"
"ORD00041","2023-06-30T13:42:00Z","SUP035","Sandoz Pharmaceuticals","PRD1037","Methadone Hydrochloride Solution","METH20230630","2026-10-31","80","bottles","delivered","SHIP1037A","2023-07-01T09:00:00Z","McKesson Medical","MCKMETH80","2023-07-03","2023-07-03","FAC041","Eastside Addiction Center","730 Eastside Drive","Atlanta","GA","30303","USA","CTRL04","controlled substance","2023-07-03T13:00:00Z","","80","false","2023-07-03T13:30:00Z"
"ORD00042","2023-07-03T10:24:00Z","SUP036","Eli Lilly Canada","PRD1038","Trulicity Injection Pen","TRU20230703A","2026-12-31","50","pens","shipped","SHIP1038A","2023-07-04T11:10:00Z","UPS Healthcare","UPSTRU050","2023-07-06","","FAC042","Toronto Endocrine Center","150 Bloor St W","Toronto","ON","M5S2V6","Canada","COOL08","refrigerated","","","50","false","2023-07-04T11:11:00Z"
"ORD00043","2023-07-06T08:40:00Z","SUP037","Novartis Pharmaceuticals","PRD1039","Imatinib Mesylate Tablets","IMA20230706","2026-12-31","200","tablets","delivered","SHIP1039A","2023-07-07T09:00:00Z","FedEx Supply Chain","FDXIMA200","2023-07-09","2023-07-09","FAC043","Bay Area Oncology","4100 Mission St","San Francisco","CA","94112","USA","STOR18","room temperature","2023-07-09T13:00:00Z","","210","false","2023-07-09T13:22:00Z"
"ORD00044","2023-07-09T14:21:00Z","SUP038","AstraZeneca Pharma","PRD1040","Ticagrelor Tablets","TICA20230709","2026-08-31","600","tablets","delivered","SHIP1040A","2023-07-10T09:00:00Z","UPS Healthcare","UPSTICA600","2023-07-12","2023-07-12","FAC044","Summit Cardiology","160 Summit Ave","Seattle","WA","98109","USA","STOR19","room temperature","2023-07-12T14:00:00Z","","610","false","2023-07-12T14:30:00Z"
"ORD00045","2023-07-11T09:10:00Z","SUP039","Gilead Sciences","PRD1041","Remdesivir Injection","REM20230711","2026-12-31","36","vials","delivered","SHIP1041A","2023-07-12T10:00:00Z","FedEx Supply Chain","FDXREM036","2023-07-14","2023-07-14","FAC045","Lone Star Infectious Disease","8300 Lone Star Pkwy","Dallas","TX","75212","USA","STOR20","room temperature","2023-07-14T15:00:00Z","","38","false","2023-07-14T15:40:00Z"
"ORD00046","2023-07-13T13:11:00Z","SUP040","Pfizer Inc.","PRD1042","Palbociclib Capsules","PALBO20230713","2026-12-31","80","capsules","shipped","SHIP1042A","2023-07-14T09:00:00Z","DHL Express","DHLPALBO80","2023-07-16","","FAC046","Great Lakes Oncology","2700 Lakeside Ave","Cleveland","OH","44114","USA","STOR21","room temperature","","","80","false","2023-07-14T09:01:00Z"
"ORD00047","2023-07-15T16:25:00Z","SUP041","Roche Diagnostics","PRD1043","Tocilizumab Injection","TOCI20230715","2026-09-30","24","vials","pending","","","","","","","FAC047","Springfield Rheumatology","4500 Main St","Springfield","MO","65807","USA","","room temperature","","","0","false","2023-07-15T16:26:00Z"
"ORD00048","2023-07-18T09:30:00Z","SUP042","Bristol Myers Squibb","PRD1044","Abatacept Injection","ABA20230718","2026-08-31","24","vials","delivered","SHIP1044A","2023-07-19T10:00:00Z","AmerisourceBergen","AMSABA024","2023-07-21","2023-07-21","FAC048","Rocky Mountain Arthritis Center","3000 Alpine Rd","Boulder","CO","80301","USA","STOR22","room temperature","2023-07-21T15:00:00Z","","25","false","2023-07-21T15:30:00Z"
"ORD00049","2023-07-19T15:11:00Z","SUP043","Takeda Pharmaceuticals","PRD1045","Lenvatinib Capsules","LENVA20230719","2026-07-31","24","capsules","pending","","","","","","","FAC049","Shoreline Oncology","1800 Bayside Ave","San Diego","CA","92103","USA","","room temperature","","","0","false","2023-07-19T15:12:00Z"
"ORD00050","2023-07-22T11:20:00Z","SUP044","Novo Nordisk","PRD1046","Insulin Aspart Pen","INASP20230722","2026-10-31","50","pens","shipped","SHIP1046A","2023-07-23T12:00:00Z","UPS Healthcare","UPSINASP50","2023-07-25","","FAC050","Bayview Diabetes Center","801 Bayview Ave","Toronto","ON","M4G3E8","Canada","COOL09","refrigerated","","","50","false","2023-07-23T12:01:00Z"
"ORD02001","2023-07-12T10:18:00Z","SUP203","NorthStar Pharmaceuticals","PRD4021","Amoxicillin 500mg Capsules","AMOX20230712","2025-07-31","2500","capsules","delivered","SHIP402121","2023-07-13T08:10:00Z","FedEx Health","FDX20230713A","2023-07-14","2023-07-14","FAC302","Horizon Medical Center","99 Oakridge Dr","Houston","TX","77030","USA","STOR102","room temperature","2023-07-14T14:05:00Z","","2750","false","2023-07-15T09:00:00Z"
"ORD02002","2023-07-13T15:55:00Z","SUP208","EverWell Pharma Inc","PRD3381","Influenza Vaccine Quadrivalent","FLUV20230713B","2024-10-31","60","vials","shipped","SHIP338108","2023-07-14T09:10:00Z","Amerisource Bergen","AMB20230714Q","2023-07-16","","FAC321","Bay Area Community Health","1234 Elm St","San Jose","CA","95116","USA","COOL207","refrigerated","","","60","false","2023-07-14T15:00:00Z"
"ORD02003","2023-07-14T09:25:00Z","SUP204","Medline Solutions","PRD1022","Acetaminophen 325mg Tablets","ACET20230714","2026-01-31","5000","tablets","delivered","SHIP102224","2023-07-15T07:55:00Z","UPS Healthcare","UPS20230715N","2023-07-17","2023-07-17","FAC350","Eastview Hospital","800 Main St","Tampa","FL","33609","USA","STOR201","room temperature","2023-07-17T11:10:00Z","","5400","false","2023-07-17T12:00:00Z"
"ORD02004","2023-07-14T15:44:00Z","SUP207","BluePeak Biologics","PRD2213","Insulin Glargine U-100","INSGL20230714","2024-12-31","24","pens","pending","","","","","","","FAC390","Sunrise Family Clinic","99 Sunrise Ave","Phoenix","AZ","85016","USA","","refrigerated","","","24","false","2023-07-14T19:30:00Z"
"ORD02005","2023-07-15T07:10:00Z","SUP212","PharmaNova","PRD7311","Oxycodone HCl 10mg","OXY20230715B","2025-08-30","18","tablets","delivered","SHIP731112","2023-07-16T08:05:00Z","Cardinal Health","CDH20230716O","2023-07-17","2023-07-17","FAC312","Westside Pharmacy","1425 Lakeview Blvd","Las Vegas","NV","89169","USA","CTRL301","controlled substance","2023-07-17T09:30:00Z","","18","false","2023-07-17T10:00:00Z"
"ORD02006","2023-07-15T15:08:00Z","SUP217","Unity Biomed Corp","PRD5012","Albuterol Inhalation Solution","ALB20230715A","2026-06-30","10000","ampules","delivered","SHIP501217","2023-07-16T12:00:00Z","DHL Medical","DHL20230716B","2023-07-18","2023-07-18","FAC388","St. Michael's Hospital","612 Grand Ave","Seattle","WA","98104","USA","STOR455","room temperature","2023-07-18T15:30:00Z","","10000","false","2023-07-19T09:00:00Z"
"ORD02007","2023-07-16T11:22:00Z","SUP211","Pharmaconex LLC","PRD4425","Daptomycin Injection 500mg","DAPT20230716","2025-11-30","50","vials","shipped","SHIP442511","2023-07-17T07:00:00Z","FedEx Health","FDX20230717D","2023-07-19","","FAC302","Horizon Medical Center","99 Oakridge Dr","Houston","TX","77030","USA","COOL102","refrigerated","","","50","false","2023-07-17T09:30:00Z"
"ORD02008","2023-07-17T10:55:00Z","SUP209","CureGenix","PRD9720","Methotrexate Injection","MTX20230717A","2026-02-28","16","vials","delivered","SHIP972009","2023-07-18T10:00:00Z","UPS Healthcare","UPS20230718M","2023-07-20","2023-07-19","FAC410","Cypress Oncology Clinic","1185 Cypress Rd","Dallas","TX","75231","USA","HAZ101","hazardous","2023-07-19T13:00:00Z","","0","true","2023-07-20T09:00:00Z"
"ORD02009","2023-07-18T13:00:00Z","SUP207","BluePeak Biologics","PRD3382","Influenza Vaccine Trivalent","FLUT20230718","2024-11-15","80","vials","pending","","","","","","","FAC375","Lakeside Medical Center","501 Lakeshore Dr","Orlando","FL","32806","USA","","refrigerated","","","80","false","2023-07-18T17:00:00Z"
"ORD02010","2023-07-19T08:30:00Z","SUP203","NorthStar Pharmaceuticals","PRD2912","Metformin 850mg Tablets","METF20230719","2026-07-31","10000","tablets","delivered","SHIP291203","2023-07-20T09:10:00Z","Cardinal Health","CDH20230720M","2023-07-21","2023-07-21","FAC402","Riverbend Hospital","1844 River Rd","Columbus","OH","43210","USA","MAIN302","room temperature","2023-07-21T13:15:00Z","","10800","false","2023-07-22T09:00:00Z"
"ORD02011","2023-07-19T14:40:00Z","SUP211","Pharmaconex LLC","PRD1219","Morphine Sulfate 15mg","MS20230719A","2026-02-28","36","tablets","delivered","SHIP121911","2023-07-20T12:10:00Z","UPS Healthcare","UPS20230720S","2023-07-22","2023-07-22","FAC394","Midtown Pain Clinic","8601 12th Ave","Denver","CO","80220","USA","CTRL228","controlled substance","2023-07-22T14:00:00Z","","0","true","2023-07-23T09:00:00Z"
"ORD02012","2023-07-20T08:15:00Z","SUP204","Medline Solutions","PRD4022","Amoxicillin 250mg Capsules","AMOX20230720","2026-01-31","3000","capsules","shipped","SHIP402220","2023-07-21T09:00:00Z","FedEx Health","FDX20230721A","2023-07-23","","FAC405","Downtown Health Center","222 Main Ave","Indianapolis","IN","46202","USA","STOR402","room temperature","","","3000","false","2023-07-21T10:00:00Z"
"ORD02013","2023-07-20T15:35:00Z","SUP209","CureGenix","PRD6010","Hydroxyurea Capsules 500mg","HYD20230720B","2026-07-15","80","capsules","pending","","","","","","","FAC428","Green Valley Clinic","53 Greenway Rd","Austin","TX","78751","USA","","room temperature","","","80","false","2023-07-20T16:00:00Z"
"ORD02014","2023-07-21T08:05:00Z","SUP217","Unity Biomed Corp","PRD8001","Human Insulin Injection","HINS20230721","2025-10-31","100","vials","pending","","","","","","","FAC499","Hopewell Family Health","12 Hopewell Dr","Charlotte","NC","28204","USA","","refrigerated","","","100","false","2023-07-21T09:30:00Z"
"ORD02015","2023-07-21T15:19:00Z","SUP215","Summit Pharmaceuticals","PRD5402","Dexamethasone Injection","DEX20230721A","2025-11-30","10","ampules","delivered","SHIP540215","2023-07-22T10:00:00Z","Amerisource Bergen","AMB20230722D","2023-07-24","2023-07-24","FAC326","Valley Regional Hospital","900 Valley Rd","Albuquerque","NM","87106","USA","FZR204","frozen","2023-07-24T14:30:00Z","","0","true","2023-07-25T09:00:00Z"
"ORD02016","2023-07-22T07:30:00Z","SUP212","PharmaNova","PRD1030","Atenolol 50mg Tablets","ATEN20230722","2025-09-30","500","tablets","pending","","","","","","","FAC468","Fulton Health Services","600 Fulton St","Atlanta","GA","30312","USA","","room temperature","","","500","false","2023-07-22T09:00:00Z"
